Reserve,Reserve count (values),Genus_Species,Family,Genus,Species,ssp./var. designation,ssp./var. name,Division,Reserve count (formula),Synonym,Common Name,"Uncertainties in species ID, noted in original flora",Native/Exotic,Habitat (approx),Bloom Time (approx),,,,,,
Boyd Deep Canyon,1,Achnatherum parishii,Poaceae,Achnatherum,parishii,,,Angiosperm,1,Stipa coronata var. depauperata,,,,,,,,,,,
Sweeney Granite Mountains ,2,Achnatherum parishii,Poaceae,Achnatherum,parishii,,,Angiosperm,2,Stipa parishii,Parish's needlegrass,,,,,,,,,,
Boyd Deep Canyon,1,Achnatherum speciosum,Poaceae,Achnatherum,speciosum,,,Angiosperm,1,Stipa s. ,,,,,,,,,,,
Burns Pinon Ridge,2,Achnatherum speciosum,Poaceae,Achnatherum,speciosum,,,Angiosperm,2,,,,,,,,,,,,
Sweeney Granite Mountains ,3,Achnatherum speciosum,Poaceae,Achnatherum,speciosum,,,Angiosperm,3,Stipa speciosa ,desert needlegrass,,,,,,,,,,
Blue Oak Ranch,1,Achyrachaena mollis,Asteraceae,Achyrachaena,mollis,,,Angiosperm,1,,,,,,,,,,,,
Hastings,2,Achyrachaena mollis,Asteraceae,Achyrachaena,mollis,,,Angiosperm,2,,,,,,,,,,,,
Jepson Prairie,3,Achyrachaena mollis,Asteraceae,Achyrachaena,mollis,,,Angiosperm,3,,,,,,,,,,,,
McLaughlin,4,Achyrachaena mollis,Asteraceae,Achyrachaena,mollis,,,Angiosperm,4,,,,,,,,,,,,
Quail Ridge,5,Achyrachaena mollis,Asteraceae,Achyrachaena,mollis,,,Angiosperm,5,,Blowwives    ,,,,,,,,,,
Sedgewick,6,Achyrachaena mollis,Asteraceae,Achyrachaena,mollis,,,Angiosperm,6,,,,,,,,,,,,
Stebbins Cold Canyon,7,Achyrachaena mollis,Asteraceae,Achyrachaena,mollis,,,Angiosperm,7,,Blowwives,,,Grassy sites,April-May,,,,,,
Stunt Ranch Santa Monica Mountains,8,Achyrachaena mollis,Asteraceae,Achyrachaena,mollis,,,Angiosperm,8,,,,,,,,,,,,
Boyd Deep Canyon,1,Achyronychia cooperi,Caryophyllaceae,Achyronychia,cooperi,,,Angiosperm,1,,,,,,,,,,,,
Sweeney Granite Mountains ,2,Achyronychia cooperi,Caryophyllaceae,Achyronychia,cooperi,,,Angiosperm,2,,onyx flower,,,,,,,,,,
Chickering American River,1,Aconitum columbianum,Ranunculaceae,Aconitum,columbianum,,,Angiosperm,1,,,,,,,,,,,,
SNARL,2,Aconitum columbianum,Ranunculaceae,Aconitum,columbianum,,,Angiosperm,2,,,,,see SNARL list (original),,,,,,,
Valentine,3,Aconitum columbianum,Ranunculaceae,Aconitum,columbianum,,,Angiosperm,3,,,,,Seep and Spring Vegetation,,,,,,,
Dawson Los Monos Canyon,1,Acourtia microcephala,Asteraceae,Acourtia,microcephala,,,Angiosperm,1,,,,,,,,,,,,
Dawson Los Monos Canyon,2,Acourtia microcephala,Asteraceae,Acourtia,microcephala,,,Angiosperm,2,,,,,,,,,,,,
Elliot Chaparral,3,Acourtia microcephala,Asteraceae,Acourtia,microcephala,,,Angiosperm,3,,,,,,,,,,,,
Elliot Chaparral,4,Acourtia microcephala,Asteraceae,Acourtia,microcephala,,,Angiosperm,4,,,,,,,,,,,,
Motte Rimrock,5,Acourtia microcephala,Asteraceae,Acourtia,microcephala,,,Angiosperm,5,,Sacapellote  ,,,,,,,,,,
Sedgewick,6,Acourtia microcephala,Asteraceae,Acourtia,microcephala,,,Angiosperm,6,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,7,Acourtia microcephala,Asteraceae,Acourtia,microcephala,,,Angiosperm,7,Perezia microcephala,,,,,,,,,,,
San Joaquin Freshwater Marsh,1,Acroptilon repens,Asteraceae,Acroptilon,repens,,,Angiosperm,1,,,,,,,,,,,,
Chickering American River,1,Actaea rubra,Ranunculaceae,Actaea,rubra,,arguta,Angiosperm,1,,,,,,,,,,,,
Valentine,2,Actaea rubra,Ranunculaceae,Actaea,rubra,,,Angiosperm,2,,,,,Seep and Spring Vegetation,,,,,,,
Angelo Coast Range,1,Adenocaulon bicolor,Asteraceae,Adenocaulon,bicolor,,,Angiosperm,1,,,,,,,,,,,,
Sweeney Granite Mountains ,1,Adenophyllum cooperi,Asteraceae,Adenophyllum,cooperi,,,Angiosperm,1,Dyssodia c.,Cooper's dyssodia,,,,,,,,,,
Boyd Deep Canyon,1,Adenophyllum porophylloides,Asteraceae,Adenophyllum,porophylloides,,,Angiosperm,1,Dyssodia p.,,,,,,,,,,,
Sweeney Granite Mountains ,2,Adenophyllum porophylloides,Asteraceae,Adenophyllum,porophylloides,,,Angiosperm,2,Dyssodia p.,San Felipe dyssodia,,,,,,,,,,
Angelo Coast Range,1,Adenostoma fasciculatum,Rosaceae,Adenostoma,fasciculatum,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,2,Adenostoma fasciculatum,Rosaceae,Adenostoma,fasciculatum,,,Angiosperm,2,,,,,,,,,,,,
Boyd Deep Canyon,3,Adenostoma fasciculatum,Rosaceae,Adenostoma,fasciculatum,,,Angiosperm,3,,,,,,,,,,,,
Dawson Los Monos Canyon,4,Adenostoma fasciculatum,Rosaceae,Adenostoma,fasciculatum,,,Angiosperm,4,,,,,,,,,,,,
Elliot Chaparral,5,Adenostoma fasciculatum,Rosaceae,Adenostoma,fasciculatum,,,Angiosperm,5,,,,,,,,,,,,
Fort Ord,6,Adenostoma fasciculatum,Rosaceae,Adenostoma,fasciculatum,,,Angiosperm,6,,Chamise,,,,,,,,,,
Hastings,7,Adenostoma fasciculatum,Rosaceae,Adenostoma,fasciculatum,,,Angiosperm,7,,,,,,,,,,,,
James San Jacinto Mountains,8,Adenostoma fasciculatum,Rosaceae,Adenostoma,fasciculatum,,,Angiosperm,8,,,,,,,,,,,,
Landells-Hill Big Creek,9,Adenostoma fasciculatum,Rosaceae,Adenostoma,fasciculatum,,,Angiosperm,9,,"Chamise, Greasewood ",,,,,,,,,,
McLaughlin,10,Adenostoma fasciculatum,Rosaceae,Adenostoma,fasciculatum,,,Angiosperm,10,,,,,,,,,,,,
Quail Ridge,11,Adenostoma fasciculatum,Rosaceae,Adenostoma,fasciculatum,,,Angiosperm,11,,Chamise    ,,,,,,,,,,
Santa Cruz Island,12,Adenostoma fasciculatum,Rosaceae,Adenostoma,fasciculatum,var.,prostratum,Angiosperm,12,,Prostrate Chamise   ,,Endemic,,,,,,,,
Sedgewick,13,Adenostoma fasciculatum,Rosaceae,Adenostoma,fasciculatum,,,Angiosperm,13,,,,,,,,,,,,
Stebbins Cold Canyon,14,Adenostoma fasciculatum,Rosaceae,Adenostoma,fasciculatum,,,Angiosperm,14,,Chamise,,,"Common on dry slopes and ridges, chaparral",May-June,,,,,,
Stunt Ranch Santa Monica Mountains,15,Adenostoma fasciculatum,Rosaceae,Adenostoma,fasciculatum,,,Angiosperm,15,,,,,,,,,,,,
Boyd Deep Canyon,1,Adenostoma sparsifolium,Rosaceae,Adenostoma,sparsifolium,,,Angiosperm,1,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,2,Adenostoma sparsifolium,Rosaceae,Adenostoma,sparsifolium,,,Angiosperm,2,,,,,,,,,,,,
Angelo Coast Range,1,Adiantum aleuticum,Pteridaceae,Adiantum,aleuticum,,,Ferns & Allies,1,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,1,Adiantum capillus-veneris,Pteridaceae,Adiantum,capillus-veneris,,,Ferns & Allies,1,,,,,,,,,,,,
Sweeney Granite Mountains ,2,Adiantum capillus-veneris,Pteridaceae,Adiantum,capillus-veneris,,,Ferns & Allies,2,,southern maiden-hair,,,,,,,,,,
Blue Oak Ranch,1,Adiantum jordanii,Pteridaceae,Adiantum,jordanii,,,Ferns & Allies,1,,,,,,,,,,,,
Dawson Los Monos Canyon,2,Adiantum jordanii,Pteridaceae,Adiantum,jordanii,,,Ferns & Allies,2,,,,,,,,,,,,
Hastings,3,Adiantum jordanii,Pteridaceae,Adiantum,jordanii,,,Ferns & Allies,3,,,,,,,,,,,,
McLaughlin,4,Adiantum jordanii,Pteridaceae,Adiantum,jordanii,,,Ferns & Allies,4,,,,,,,,,,,,
Quail Ridge,5,Adiantum jordanii,Pteridaceae,Adiantum,jordanii,,,Ferns & Allies,5,,Maidenhair fern   ,,,,,,,,,,
Kenneth S Norris Rancho Marino,6,Adiantum jordanii,Pteridaceae,Adiantum,jordanii,,,Ferns & Allies,6,,California Maiden-Hair,,,,,,,,,,
Scripps Coastal,7,Adiantum jordanii,Pteridaceae,Adiantum,jordanii,,,Ferns & Allies,7,,,,,,,,,,,,
Sedgewick,8,Adiantum jordanii,Pteridaceae,Adiantum,jordanii,,,Ferns & Allies,8,,,,,,,,,,,,
Stebbins Cold Canyon,9,Adiantum jordanii,Pteridaceae,Adiantum,jordanii,,,Ferns & Allies,9,,Maidenhair fern,,,"Shaded hillsides, moist woods",,,,,,,
Stunt Ranch Santa Monica Mountains,10,Adiantum jordanii,Pteridaceae,Adiantum,jordanii,,,Ferns & Allies,10,,,,,,,,,,,,
Dawson Los Monos Canyon,1,Adiantum sp.,Pteridaceae,Adiantum,sp.,,,Ferns & Allies,1,,,,,,,,,,,,
Dawson Los Monos Canyon,1,Adolphia californica,Rhamnaceae,Adolphia,californica,,,Angiosperm,1,,,,,,,,,,,,
Dawson Los Monos Canyon,2,Adolphia californica,Rhamnaceae,Adolphia,californica,,,Angiosperm,2,,,,,,,,,,,,
Dawson Los Monos Canyon,3,Adolphia californica,Rhamnaceae,Adolphia,californica,,,Angiosperm,3,,,,,,,,,,,,
Dawson Los Monos Canyon,4,Adolphia californica,Rhamnaceae,Adolphia,californica,,,Angiosperm,4,,,,,,,,,,,,
Jepson Prairie,1,Aegilops triuncialis,Poaceae,Aegilops,triuncialis,,,Angiosperm,1,,,,,,,,,,,,
McLaughlin,2,Aegilops triuncialis,Poaceae,Aegilops,triuncialis,,,Angiosperm,2,,,,,,,,,,,,
Quail Ridge,3,Aegilops triuncialis,Poaceae,Aegilops,triuncialis,,,Angiosperm,3,,Barbed goatgrass   ,,,,,,,,,,
Angelo Coast Range,1,Aesculus californica,Hippocastanaceae  ,Aesculus,californica,,,,1,,,,,,,,,,,,
Blue Oak Ranch,2,Aesculus californica,Hippocastanaceae  ,Aesculus,californica,,,Angiosperm,2,,,,,,,,,,,,
Hastings,3,Aesculus californica,Hippocastanaceae  ,Aesculus,californica,,,,3,,,,,,,,,,,,
Landells-Hill Big Creek,4,Aesculus californica,Hippocastanaceae  ,Aesculus,californica,,,Angiosperm,4,,California Buckeye ,,,,,,,,,,
McLaughlin,5,Aesculus californica,Hippocastanaceae  ,Aesculus,californica,,,Angiosperm,5,,,,,,,,,,,,
Quail Ridge,6,Aesculus californica,Hippocastanaceae  ,Aesculus,californica,,,Angiosperm,6,,California buckeye   ,,,,,,,,,,
Stebbins Cold Canyon,7,Aesculus californica,Hippocastanaceae  ,Aesculus,californica,,,Angiosperm,7,,California buckeye,,,"Along drainages, sides of streams",May-June,,,,,,
Younger Lagoon,8,Aesculus californica,Hippocastanaceae  ,Aesculus,californica,,,Angiosperm,8,,Buckeye   ,,,,,,,,,,
Chickering American River,1,Agastache  urticifolia,Lamiaceae,Agastache ,urticifolia,,,Angiosperm,1,,,,,,,,,,,,
Valentine,1,Agastache urticifolia,Lamiaceae,Agastache,urticifolia,,,Angiosperm,1,,,,,Seep and Spring Vegetation,,,,,,,
Boyd Deep Canyon,1,Agave deserti,Agavaceae ,Agave,deserti,var.,deserti,Angiosperm,1,,,,,,,,,,,,
Sweeney Granite Mountains ,2,Agave deserti,Liliaceae,Agave,deserti,,,Angiosperm,2,,desert agave,,,,,,,,,,
Sweeney Granite Mountains ,1,Ageratina herbacea,Asteraceae,Ageratina,herbacea,,,Angiosperm,1,Eupatorium h.,desert eupatorium,,,,,,,,,,
Valentine,1,Ageratina occidentalis,Asteraceae,Ageratina,occidentalis,,,Angiosperm,1,,,,,Great Basin Sagebrush Vegetation,,,,,,,
Bodega,1,Agoseris apargioides,Asteraceae,Agoseris,apargioides,var.,eastwoodiae,Angiosperm,1,,Beach dandelion,,native,,,,,,,,
Bodega,2,Agoseris apargioides,Asteraceae,Agoseris,apargioides,var.,apargioides,Angiosperm,2,,Seaside agoseris,,native,,,,,,,,
Valentine,1,Agoseris aurantiaca,Asteraceae,Agoseris,aurantiaca,,,Angiosperm,1,,,,,Seep and Spring Vegetation,,,,,,,
Chickering American River,1,Agoseris glauca,Asteraceae,Agoseris,glauca,,monticola,Angiosperm,1,,,,,,,,,,,,
Chickering American River,2,Agoseris glauca,Asteraceae,Agoseris,glauca,,laciniata,Angiosperm,2,,,,,,,,,,,,
Sagehen Creek,3,Agoseris glauca,Asteraceae,Agoseris,glauca,,,Angiosperm,3,,,,,,,,,,,,
SNARL,4,Agoseris glauca,Asteraceae,Agoseris,glauca,var.,monticola,Angiosperm,4,,,,,see SNARL list (original),,,,,,,
SNARL,5,Agoseris glauca,Asteraceae,Agoseris,glauca,var.,laciniata,Angiosperm,5,,,,,see SNARL list (original),,,,,,,
Valentine,6,Agoseris glauca,Asteraceae,Agoseris,glauca,var.,laciniata,Angiosperm,6,,,,,Great Basin Sagebrush Vegetation,,,,,,,
Angelo Coast Range,1,Agoseris grandiflora,Asteraceae,Agoseris,grandiflora,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,2,Agoseris grandiflora,Asteraceae,Agoseris,grandiflora,var.,grandiflora,Angiosperm,2,,,,,,,,,,,,
Bodega,3,Agoseris grandiflora,Asteraceae,Agoseris,grandiflora,,,Angiosperm,3,,Grand mountain dandelion,,native,,,,,,,,
Chickering American River,4,Agoseris grandiflora,Asteraceae,Agoseris,grandiflora,,,Angiosperm,4,,,,,,,,,,,,
Fort Ord,5,Agoseris grandiflora,Asteraceae,Agoseris,grandiflora,,,Angiosperm,5,,Large-flowered agoseris,,,,,,,,,,
Hastings,6,Agoseris grandiflora,Asteraceae,Agoseris,grandiflora,,,Angiosperm,6,,,,,,,,,,,,
James San Jacinto Mountains,7,Agoseris grandiflora,Asteraceae,Agoseris,grandiflora,,,Angiosperm,7,,,,,,,,,,,,
Landells-Hill Big Creek,8,Agoseris grandiflora,Asteraceae,Agoseris,grandiflora,,,Angiosperm,8,,Large-Flowered Agoseris ,,,,,,,,,,
McLaughlin,9,Agoseris grandiflora,Asteraceae,Agoseris,grandiflora,,,Angiosperm,9,,,,,,,,,,,,
Quail Ridge,10,Agoseris grandiflora,Asteraceae,Agoseris,grandiflora,,,Angiosperm,10,,California dandelion   ,,,,,,,,,,
Stebbins Cold Canyon,11,Agoseris grandiflora,Asteraceae,Agoseris,grandiflora,,,Angiosperm,11,,California dandelion,,,"Grasslands, shrubland, woodland",May-July,,,,,,
Stunt Ranch Santa Monica Mountains,12,Agoseris grandiflora,Asteraceae,Agoseris,grandiflora,,,Angiosperm,12,,,,,,,,,,,,
Angelo Coast Range,1,Agoseris heterophylla,Asteraceae,Agoseris,heterophylla,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,2,Agoseris heterophylla,Asteraceae,Agoseris,heterophylla,,,Angiosperm,2,,,,,,,,,,,,
Fort Ord,3,Agoseris heterophylla,Asteraceae,Agoseris,heterophylla,,,Angiosperm,3,,Annual dandelion,,,,,,,,,,
Hastings,4,Agoseris heterophylla,Asteraceae,Agoseris,heterophylla,,,Angiosperm,4,,,,,,,,,,,,
Landells-Hill Big Creek,5,Agoseris heterophylla,Asteraceae,Agoseris,heterophylla,,,Angiosperm,5,,Mountain Dandelion ,,,,,,,,,,
McLaughlin,6,Agoseris heterophylla,Asteraceae,Agoseris,heterophylla,,,Angiosperm,6,,,,,,,,,,,,
Sagehen Creek,7,Agoseris heterophylla,Asteraceae,Agoseris,heterophylla,,,Angiosperm,7,,,,,,,,,,,,
Sedgewick,8,Agoseris heterophylla,Asteraceae,Agoseris,heterophylla,,,Angiosperm,8,,,,,,,,,,,,
Stebbins Cold Canyon,9,Agoseris heterophylla,Asteraceae,Agoseris,heterophylla,,,Angiosperm,9,,Mountain dandelion,,,"Open, grassy slopes and flats",March-May,,,,,,
Boyd Deep Canyon,1,Agoseris retrorsa,Asteraceae,Agoseris,retrorsa,,,Angiosperm,1,,,,,,,,,,,,
Chickering American River,2,Agoseris retrorsa,Asteraceae,Agoseris,retrorsa,,,Angiosperm,2,,,,,,,,,,,,
McLaughlin,3,Agoseris retrorsa,Asteraceae,Agoseris,retrorsa,,,Angiosperm,3,,,,,,,,,,,,
Sedgewick,4,Agoseris retrorsa,Asteraceae,Agoseris,retrorsa,,,Angiosperm,4,,,,,,,,,,,,
Hastings,1,Agoseris retrosa,Asteraceae,Agoseris,retrosa,,,Angiosperm,1,,,,,,,,,,,,
